column_name,Contain Value,Ratio
system.damage.5pokjjlq2v8f132j.materials,1,0.0005827505827505828
system.damage.5pokjjlq2v8f132j.type,1,0.0005827505827505828
system.heightening.damage.5pokjjlq2v8f132j,1,0.0005827505827505828
system.damage.ztsfuzsYaioKntEN.applyMod,1,0.0005827505827505828
system.damage.ztsfuzsYaioKntEN.formula,1,0.0005827505827505828
system.damage.ztsfuzsYaioKntEN.kinds,1,0.0005827505827505828
system.damage.ztsfuzsYaioKntEN.materials,1,0.0005827505827505828
system.damage.ztsfuzsYaioKntEN.type,1,0.0005827505827505828
system.heightening.damage.ztsfuzsYaioKntEN,1,0.0005827505827505828
system.overlays.fjal1yqjbeci6fa9.overlayType,1,0.0005827505827505828
system.overlays.fjal1yqjbeci6fa9.sort,1,0.0005827505827505828
system.overlays.fjal1yqjbeci6fa9.system.area.areaType,1,0.0005827505827505828
system.overlays.fjal1yqjbeci6fa9.system.area.type,1,0.0005827505827505828
system.overlays.fjal1yqjbeci6fa9.system.area.value,1,0.0005827505827505828
system.overlays.fjal1yqjbeci6fa9.system.target.value,1,0.0005827505827505828
system.overlays.fjal1yqjbeci6fa9.system.time.value,1,0.0005827505827505828
system.overlays.fjal1yqjbeci6fa9.system.traits.value,1,0.0005827505827505828
system.overlays.gc46bl5k7ajwh96r.overlayType,1,0.0005827505827505828
system.overlays.gc46bl5k7ajwh96r.sort,1,0.0005827505827505828
system.overlays.gc46bl5k7ajwh96r.system.area.areaType,1,0.0005827505827505828
system.overlays.gc46bl5k7ajwh96r.system.area.type,1,0.0005827505827505828
system.overlays.gc46bl5k7ajwh96r.system.area.value,1,0.0005827505827505828
system.overlays.gc46bl5k7ajwh96r.system.target.value,1,0.0005827505827505828
system.overlays.gc46bl5k7ajwh96r.system.time.value,1,0.0005827505827505828
system.overlays.gc46bl5k7ajwh96r.system.traits.value,1,0.0005827505827505828
system.overlays.q1iyd84b6hrjht55.overlayType,1,0.0005827505827505828
system.overlays.q1iyd84b6hrjht55.sort,1,0.0005827505827505828
system.overlays.q1iyd84b6hrjht55.system.damage.0.formula,1,0.0005827505827505828
system.overlays.q1iyd84b6hrjht55.system.heightening.damage.0,1,0.0005827505827505828
system.overlays.q1iyd84b6hrjht55.system.target.value,1,0.0005827505827505828
system.overlays.q1iyd84b6hrjht55.system.time.value,1,0.0005827505827505828
system.damage.KxmChmCzNHy5fbuW.applyMod,1,0.0005827505827505828
system.damage.KxmChmCzNHy5fbuW.formula,1,0.0005827505827505828
system.damage.KxmChmCzNHy5fbuW.kinds,1,0.0005827505827505828
system.damage.KxmChmCzNHy5fbuW.materials,1,0.0005827505827505828
system.damage.KxmChmCzNHy5fbuW.type,1,0.0005827505827505828
system.heightening.damage.KxmChmCzNHy5fbuW,1,0.0005827505827505828
system.damage.KCA7zyzlqSK9qPCG.applyMod,1,0.0005827505827505828
system.damage.KCA7zyzlqSK9qPCG.category,1,0.0005827505827505828
system.damage.KCA7zyzlqSK9qPCG.formula,1,0.0005827505827505828
system.damage.KCA7zyzlqSK9qPCG.kinds,1,0.0005827505827505828
system.damage.KCA7zyzlqSK9qPCG.materials,1,0.0005827505827505828
system.damage.KCA7zyzlqSK9qPCG.type,1,0.0005827505827505828
system.heightening.levels.3.damage.KCA7zyzlqSK9qPCG.applyMod,1,0.0005827505827505828
system.heightening.levels.3.damage.KCA7zyzlqSK9qPCG.category,1,0.0005827505827505828
system.heightening.levels.3.damage.KCA7zyzlqSK9qPCG.formula,1,0.0005827505827505828
system.heightening.levels.3.damage.KCA7zyzlqSK9qPCG.materials,1,0.0005827505827505828
system.heightening.levels.3.damage.KCA7zyzlqSK9qPCG.type,1,0.0005827505827505828
system.heightening.levels.5.damage.KCA7zyzlqSK9qPCG.applyMod,1,0.0005827505827505828
system.heightening.levels.5.damage.KCA7zyzlqSK9qPCG.category,1,0.0005827505827505828
system.heightening.levels.5.damage.KCA7zyzlqSK9qPCG.formula,1,0.0005827505827505828
system.heightening.levels.5.damage.KCA7zyzlqSK9qPCG.materials,1,0.0005827505827505828
system.heightening.levels.5.damage.KCA7zyzlqSK9qPCG.type,1,0.0005827505827505828
system.heightening.levels.7.damage.KCA7zyzlqSK9qPCG.applyMod,1,0.0005827505827505828
system.heightening.levels.7.damage.KCA7zyzlqSK9qPCG.category,1,0.0005827505827505828
system.heightening.levels.7.damage.KCA7zyzlqSK9qPCG.formula,1,0.0005827505827505828
system.heightening.levels.7.damage.KCA7zyzlqSK9qPCG.materials,1,0.0005827505827505828
system.heightening.levels.7.damage.KCA7zyzlqSK9qPCG.type,1,0.0005827505827505828
system.heightening.levels.9.damage.KCA7zyzlqSK9qPCG.applyMod,1,0.0005827505827505828
system.heightening.levels.9.damage.KCA7zyzlqSK9qPCG.category,1,0.0005827505827505828
system.heightening.levels.9.damage.KCA7zyzlqSK9qPCG.formula,1,0.0005827505827505828
system.heightening.levels.9.damage.KCA7zyzlqSK9qPCG.materials,1,0.0005827505827505828
system.heightening.levels.9.damage.KCA7zyzlqSK9qPCG.type,1,0.0005827505827505828
system.damage.WhDZWzgmADIIVxKO.applyMod,1,0.0005827505827505828
system.damage.WhDZWzgmADIIVxKO.formula,1,0.0005827505827505828
system.damage.WhDZWzgmADIIVxKO.kinds,1,0.0005827505827505828
system.damage.WhDZWzgmADIIVxKO.materials,1,0.0005827505827505828
system.damage.WhDZWzgmADIIVxKO.type,1,0.0005827505827505828
system.heightening.damage.WhDZWzgmADIIVxKO,1,0.0005827505827505828
system.damage.F7dmCJUYa7dzGz9n.applyMod,1,0.0005827505827505828
system.damage.F7dmCJUYa7dzGz9n.formula,1,0.0005827505827505828
system.damage.F7dmCJUYa7dzGz9n.kinds,1,0.0005827505827505828
system.damage.F7dmCJUYa7dzGz9n.materials,1,0.0005827505827505828
system.damage.F7dmCJUYa7dzGz9n.type,1,0.0005827505827505828
system.heightening.damage.F7dmCJUYa7dzGz9n,1,0.0005827505827505828
system.overlays.6vSnfwRnUWyZHy9T._id,1,0.0005827505827505828
system.overlays.6vSnfwRnUWyZHy9T.name,1,0.0005827505827505828
system.overlays.6vSnfwRnUWyZHy9T.overlayType,1,0.0005827505827505828
system.overlays.6vSnfwRnUWyZHy9T.sort,1,0.0005827505827505828
system.overlays.6vSnfwRnUWyZHy9T.system.damage.yDUpRhWBFgdtBTqW.applyMod,1,0.0005827505827505828
system.overlays.6vSnfwRnUWyZHy9T.system.damage.yDUpRhWBFgdtBTqW.formula,1,0.0005827505827505828
system.overlays.6vSnfwRnUWyZHy9T.system.damage.yDUpRhWBFgdtBTqW.materials,1,0.0005827505827505828
system.overlays.6vSnfwRnUWyZHy9T.system.damage.yDUpRhWBFgdtBTqW.type,1,0.0005827505827505828
system.overlays.6vSnfwRnUWyZHy9T.system.heightening.damage.yDUpRhWBFgdtBTqW,1,0.0005827505827505828
system.overlays.6vSnfwRnUWyZHy9T.system.heightening.interval,1,0.0005827505827505828
system.overlays.6vSnfwRnUWyZHy9T.system.heightening.type,1,0.0005827505827505828
system.overlays.9F9TDQen8t36f2Hy._id,1,0.0005827505827505828
system.overlays.9F9TDQen8t36f2Hy.name,1,0.0005827505827505828
system.overlays.9F9TDQen8t36f2Hy.overlayType,1,0.0005827505827505828
system.overlays.9F9TDQen8t36f2Hy.sort,1,0.0005827505827505828
system.overlays.9F9TDQen8t36f2Hy.system.damage.NG8iJ8V08LYNGE2U.applyMod,1,0.0005827505827505828
system.overlays.9F9TDQen8t36f2Hy.system.damage.NG8iJ8V08LYNGE2U.formula,1,0.0005827505827505828
system.overlays.9F9TDQen8t36f2Hy.system.damage.NG8iJ8V08LYNGE2U.materials,1,0.0005827505827505828
system.overlays.9F9TDQen8t36f2Hy.system.damage.NG8iJ8V08LYNGE2U.type,1,0.0005827505827505828
system.overlays.9F9TDQen8t36f2Hy.system.heightening.damage.NG8iJ8V08LYNGE2U,1,0.0005827505827505828
system.overlays.9F9TDQen8t36f2Hy.system.heightening.interval,1,0.0005827505827505828
system.overlays.9F9TDQen8t36f2Hy.system.heightening.type,1,0.0005827505827505828
system.overlays.b3iDKTx36pQ50rrM._id,1,0.0005827505827505828
system.overlays.b3iDKTx36pQ50rrM.name,1,0.0005827505827505828
system.overlays.b3iDKTx36pQ50rrM.overlayType,1,0.0005827505827505828
system.overlays.b3iDKTx36pQ50rrM.sort,1,0.0005827505827505828
system.overlays.b3iDKTx36pQ50rrM.system.damage.GP7TJnF7wP3usMHf.applyMod,1,0.0005827505827505828
system.overlays.b3iDKTx36pQ50rrM.system.damage.GP7TJnF7wP3usMHf.formula,1,0.0005827505827505828
system.overlays.b3iDKTx36pQ50rrM.system.damage.GP7TJnF7wP3usMHf.materials,1,0.0005827505827505828
system.overlays.b3iDKTx36pQ50rrM.system.damage.GP7TJnF7wP3usMHf.type,1,0.0005827505827505828
system.overlays.b3iDKTx36pQ50rrM.system.heightening.damage.GP7TJnF7wP3usMHf,1,0.0005827505827505828
system.overlays.b3iDKTx36pQ50rrM.system.heightening.interval,1,0.0005827505827505828
system.overlays.b3iDKTx36pQ50rrM.system.heightening.type,1,0.0005827505827505828
system.overlays.pn5DHoYhppEpIsdO._id,1,0.0005827505827505828
system.overlays.pn5DHoYhppEpIsdO.name,1,0.0005827505827505828
system.overlays.pn5DHoYhppEpIsdO.overlayType,1,0.0005827505827505828
system.overlays.pn5DHoYhppEpIsdO.sort,1,0.0005827505827505828
system.overlays.pn5DHoYhppEpIsdO.system.damage.NdoyC7Quio9EO78V.applyMod,1,0.0005827505827505828
system.overlays.pn5DHoYhppEpIsdO.system.damage.NdoyC7Quio9EO78V.formula,1,0.0005827505827505828
system.overlays.pn5DHoYhppEpIsdO.system.damage.NdoyC7Quio9EO78V.materials,1,0.0005827505827505828
system.overlays.pn5DHoYhppEpIsdO.system.damage.NdoyC7Quio9EO78V.type,1,0.0005827505827505828
system.overlays.pn5DHoYhppEpIsdO.system.heightening.damage.NdoyC7Quio9EO78V,1,0.0005827505827505828
system.overlays.pn5DHoYhppEpIsdO.system.heightening.interval,1,0.0005827505827505828
system.overlays.pn5DHoYhppEpIsdO.system.heightening.type,1,0.0005827505827505828
system.damage.ugQLPWwEq70gVBNG.applyMod,1,0.0005827505827505828
system.damage.ugQLPWwEq70gVBNG.formula,1,0.0005827505827505828
system.damage.ugQLPWwEq70gVBNG.kinds,1,0.0005827505827505828
system.damage.ugQLPWwEq70gVBNG.materials,1,0.0005827505827505828
system.damage.ugQLPWwEq70gVBNG.type,1,0.0005827505827505828
system.heightening.damage.ugQLPWwEq70gVBNG,1,0.0005827505827505828
system.overlays.5lkl4b4xvy2j463q._id,1,0.0005827505827505828
system.overlays.5lkl4b4xvy2j463q.overlayType,1,0.0005827505827505828
system.overlays.5lkl4b4xvy2j463q.sort,1,0.0005827505827505828
system.overlays.5lkl4b4xvy2j463q.system.time.value,1,0.0005827505827505828
system.overlays.5lkl4b4xvy2j463q.system.traits.value,1,0.0005827505827505828
system.overlays.s1pd6dwotaii79cd._id,1,0.0005827505827505828
system.overlays.s1pd6dwotaii79cd.overlayType,1,0.0005827505827505828
system.overlays.s1pd6dwotaii79cd.sort,1,0.0005827505827505828
system.overlays.s1pd6dwotaii79cd.system.time.value,1,0.0005827505827505828
system.overlays.s1pd6dwotaii79cd.system.traits.value,1,0.0005827505827505828
system.overlays.xo6fc5njtz8vowkk._id,1,0.0005827505827505828
system.overlays.xo6fc5njtz8vowkk.overlayType,1,0.0005827505827505828
system.overlays.xo6fc5njtz8vowkk.sort,1,0.0005827505827505828
system.overlays.xo6fc5njtz8vowkk.system.target.value,1,0.0005827505827505828
system.overlays.xo6fc5njtz8vowkk.system.time.value,1,0.0005827505827505828
system.overlays.xo6fc5njtz8vowkk.system.traits.value,1,0.0005827505827505828
system.damage.en43qsw1luwagcht.applyMod,1,0.0005827505827505828
system.damage.en43qsw1luwagcht.formula,1,0.0005827505827505828
system.damage.en43qsw1luwagcht.kinds,1,0.0005827505827505828
system.damage.en43qsw1luwagcht.materials,1,0.0005827505827505828
system.damage.en43qsw1luwagcht.type,1,0.0005827505827505828
system.heightening.damage.en43qsw1luwagcht,1,0.0005827505827505828
system.damage.C34n7XTpCLCXJWwt.applyMod,1,0.0005827505827505828
system.damage.C34n7XTpCLCXJWwt.formula,1,0.0005827505827505828
system.damage.C34n7XTpCLCXJWwt.kinds,1,0.0005827505827505828
system.damage.C34n7XTpCLCXJWwt.materials,1,0.0005827505827505828
system.damage.C34n7XTpCLCXJWwt.type,1,0.0005827505827505828
system.overlays.4gyp3qlsv5ywdyjq._id,1,0.0005827505827505828
system.overlays.4gyp3qlsv5ywdyjq.name,1,0.0005827505827505828
system.overlays.4gyp3qlsv5ywdyjq.overlayType,1,0.0005827505827505828
system.overlays.4gyp3qlsv5ywdyjq.sort,1,0.0005827505827505828
system.overlays.4gyp3qlsv5ywdyjq.system.damage.0.formula,1,0.0005827505827505828
system.overlays.4gyp3qlsv5ywdyjq.system.damage.0.kinds,1,0.0005827505827505828
system.overlays.4gyp3qlsv5ywdyjq.system.heightening.damage.0,1,0.0005827505827505828
system.overlays.4gyp3qlsv5ywdyjq.system.range.value,1,0.0005827505827505828
system.overlays.4gyp3qlsv5ywdyjq.system.target.value,1,0.0005827505827505828
system.overlays.4gyp3qlsv5ywdyjq.system.time.value,1,0.0005827505827505828
system.overlays.4gyp3qlsv5ywdyjq.system.traits.value,1,0.0005827505827505828
system.overlays.pq7cxntbz4s8g5ik._id,1,0.0005827505827505828
system.overlays.pq7cxntbz4s8g5ik.overlayType,1,0.0005827505827505828
system.overlays.pq7cxntbz4s8g5ik.sort,1,0.0005827505827505828
system.overlays.pq7cxntbz4s8g5ik.system.range.value,1,0.0005827505827505828
system.overlays.pq7cxntbz4s8g5ik.system.time.value,1,0.0005827505827505828
system.overlays.rvhoa43rqqqp8izn._id,1,0.0005827505827505828
system.overlays.rvhoa43rqqqp8izn.overlayType,1,0.0005827505827505828
system.overlays.rvhoa43rqqqp8izn.sort,1,0.0005827505827505828
system.overlays.rvhoa43rqqqp8izn.system.area.type,1,0.0005827505827505828
system.overlays.rvhoa43rqqqp8izn.system.area.value,1,0.0005827505827505828
system.overlays.rvhoa43rqqqp8izn.system.range.value,1,0.0005827505827505828
system.overlays.rvhoa43rqqqp8izn.system.target.value,1,0.0005827505827505828
system.overlays.rvhoa43rqqqp8izn.system.time.value,1,0.0005827505827505828
system.overlays.rvhoa43rqqqp8izn.system.traits.value,1,0.0005827505827505828
system.overlays.z04svm1cvfcxtplb._id,1,0.0005827505827505828
system.overlays.z04svm1cvfcxtplb.name,1,0.0005827505827505828
system.overlays.z04svm1cvfcxtplb.overlayType,1,0.0005827505827505828
system.overlays.z04svm1cvfcxtplb.sort,1,0.0005827505827505828
system.overlays.z04svm1cvfcxtplb.system.damage.0.kinds,1,0.0005827505827505828
system.overlays.z04svm1cvfcxtplb.system.range.value,1,0.0005827505827505828
system.overlays.z04svm1cvfcxtplb.system.target.value,1,0.0005827505827505828
system.overlays.z04svm1cvfcxtplb.system.time.value,1,0.0005827505827505828
system.overlays.z04svm1cvfcxtplb.system.traits.value,1,0.0005827505827505828
system.overlays.37gy7l19tik74o4s._id,1,0.0005827505827505828
system.overlays.37gy7l19tik74o4s.name,1,0.0005827505827505828
system.overlays.37gy7l19tik74o4s.overlayType,1,0.0005827505827505828
system.overlays.37gy7l19tik74o4s.sort,1,0.0005827505827505828
system.overlays.37gy7l19tik74o4s.system.damage.0.formula,1,0.0005827505827505828
system.overlays.37gy7l19tik74o4s.system.damage.0.kinds,1,0.0005827505827505828
system.overlays.37gy7l19tik74o4s.system.heightening.damage.0,1,0.0005827505827505828
system.overlays.37gy7l19tik74o4s.system.range.value,1,0.0005827505827505828
system.overlays.37gy7l19tik74o4s.system.time.value,1,0.0005827505827505828
system.overlays.37gy7l19tik74o4s.system.traits.value,1,0.0005827505827505828
system.overlays.7qdtetowq348s9oc._id,1,0.0005827505827505828
system.overlays.7qdtetowq348s9oc.overlayType,1,0.0005827505827505828
system.overlays.7qdtetowq348s9oc.sort,1,0.0005827505827505828
system.overlays.7qdtetowq348s9oc.system.range.value,1,0.0005827505827505828
system.overlays.7qdtetowq348s9oc.system.time.value,1,0.0005827505827505828
system.overlays.7vbvdrv2cl87sqta._id,1,0.0005827505827505828
system.overlays.7vbvdrv2cl87sqta.overlayType,1,0.0005827505827505828
system.overlays.7vbvdrv2cl87sqta.sort,1,0.0005827505827505828
system.overlays.7vbvdrv2cl87sqta.system.area.type,1,0.0005827505827505828
system.overlays.7vbvdrv2cl87sqta.system.area.value,1,0.0005827505827505828
system.overlays.7vbvdrv2cl87sqta.system.range.value,1,0.0005827505827505828
system.overlays.7vbvdrv2cl87sqta.system.target.value,1,0.0005827505827505828
system.overlays.7vbvdrv2cl87sqta.system.time.value,1,0.0005827505827505828
system.overlays.7vbvdrv2cl87sqta.system.traits.value,1,0.0005827505827505828
system.overlays.lfxcoz2d3f8j2zq1._id,1,0.0005827505827505828
system.overlays.lfxcoz2d3f8j2zq1.name,1,0.0005827505827505828
system.overlays.lfxcoz2d3f8j2zq1.overlayType,1,0.0005827505827505828
system.overlays.lfxcoz2d3f8j2zq1.sort,1,0.0005827505827505828
system.overlays.lfxcoz2d3f8j2zq1.system.damage.0.kinds,1,0.0005827505827505828
system.overlays.lfxcoz2d3f8j2zq1.system.range.value,1,0.0005827505827505828
system.overlays.lfxcoz2d3f8j2zq1.system.target.value,1,0.0005827505827505828
system.overlays.lfxcoz2d3f8j2zq1.system.time.value,1,0.0005827505827505828
system.overlays.lfxcoz2d3f8j2zq1.system.traits.value,1,0.0005827505827505828
system.damage.iieCBku11ZoTAxtN.applyMod,1,0.0005827505827505828
system.damage.iieCBku11ZoTAxtN.formula,1,0.0005827505827505828
system.damage.iieCBku11ZoTAxtN.kinds,1,0.0005827505827505828
system.damage.iieCBku11ZoTAxtN.materials,1,0.0005827505827505828
system.damage.iieCBku11ZoTAxtN.type,1,0.0005827505827505828
system.heightening.damage.iieCBku11ZoTAxtN,1,0.0005827505827505828
system.overlays.9uy5xd2ogc2syzwz._id,1,0.0005827505827505828
system.overlays.9uy5xd2ogc2syzwz.overlayType,1,0.0005827505827505828
system.overlays.9uy5xd2ogc2syzwz.sort,1,0.0005827505827505828
system.overlays.9uy5xd2ogc2syzwz.system.range.value,1,0.0005827505827505828
system.overlays.9uy5xd2ogc2syzwz.system.time.value,1,0.0005827505827505828
system.overlays.ozuci5q5wwe0o0s8._id,1,0.0005827505827505828
system.overlays.ozuci5q5wwe0o0s8.overlayType,1,0.0005827505827505828
system.overlays.ozuci5q5wwe0o0s8.sort,1,0.0005827505827505828
system.overlays.ozuci5q5wwe0o0s8.system.range.value,1,0.0005827505827505828
system.overlays.ozuci5q5wwe0o0s8.system.time.value,1,0.0005827505827505828
system.overlays.px43dahs3eb2rukw._id,1,0.0005827505827505828
system.overlays.px43dahs3eb2rukw.overlayType,1,0.0005827505827505828
system.overlays.px43dahs3eb2rukw.sort,1,0.0005827505827505828
system.overlays.px43dahs3eb2rukw.system.defense.save.basic,1,0.0005827505827505828
system.overlays.px43dahs3eb2rukw.system.range.value,1,0.0005827505827505828
system.overlays.px43dahs3eb2rukw.system.time.value,1,0.0005827505827505828
system.damage.Mk0Ianq2Zs3VT6IK.applyMod,1,0.0005827505827505828
system.damage.Mk0Ianq2Zs3VT6IK.formula,1,0.0005827505827505828
system.damage.Mk0Ianq2Zs3VT6IK.kinds,1,0.0005827505827505828
system.damage.Mk0Ianq2Zs3VT6IK.materials,1,0.0005827505827505828
system.damage.Mk0Ianq2Zs3VT6IK.type,1,0.0005827505827505828
system.heightening.damage.Mk0Ianq2Zs3VT6IK,1,0.0005827505827505828
system.overlays.1wl9k6lqynkjha9q._id,1,0.0005827505827505828
system.overlays.1wl9k6lqynkjha9q.overlayType,1,0.0005827505827505828
system.overlays.1wl9k6lqynkjha9q.sort,1,0.0005827505827505828
system.overlays.1wl9k6lqynkjha9q.system.range.value,1,0.0005827505827505828
system.overlays.1wl9k6lqynkjha9q.system.target.value,1,0.0005827505827505828
system.overlays.1wl9k6lqynkjha9q.system.time.value,1,0.0005827505827505828
system.overlays.juu7b3p8ujr36quq._id,1,0.0005827505827505828
system.overlays.juu7b3p8ujr36quq.overlayType,1,0.0005827505827505828
system.overlays.juu7b3p8ujr36quq.sort,1,0.0005827505827505828
system.overlays.juu7b3p8ujr36quq.system.area.areaType,1,0.0005827505827505828
system.overlays.juu7b3p8ujr36quq.system.area.value,1,0.0005827505827505828
system.overlays.juu7b3p8ujr36quq.system.range.value,1,0.0005827505827505828
system.overlays.juu7b3p8ujr36quq.system.target.value,1,0.0005827505827505828
system.overlays.juu7b3p8ujr36quq.system.time.value,1,0.0005827505827505828
system.overlays.rc0m5cmiwmosbhg4._id,1,0.0005827505827505828
system.overlays.rc0m5cmiwmosbhg4.overlayType,1,0.0005827505827505828
system.overlays.rc0m5cmiwmosbhg4.sort,1,0.0005827505827505828
system.overlays.rc0m5cmiwmosbhg4.system.range.value,1,0.0005827505827505828
system.overlays.rc0m5cmiwmosbhg4.system.target.value,1,0.0005827505827505828
system.overlays.rc0m5cmiwmosbhg4.system.time.value,1,0.0005827505827505828
system.damage.u1tz6yrszljlkr1m.applyMod,1,0.0005827505827505828
system.damage.u1tz6yrszljlkr1m.formula,1,0.0005827505827505828
system.damage.u1tz6yrszljlkr1m.kinds,1,0.0005827505827505828
